DSP,Price,Speed_in_MHz,16_Bit_MACs,40_bit_ALUs,Active_mW_per_MHz
ADSP-BF532SBSTZ400,19.50,400,2,2,0
ADSP-BF524BBCZ-3A,20.02,300,2,2,0
ADSP-BF532SBBCZ400,20.84,400,2,2,0
ADSP-BF533SBBCZ500,29.13,500,2,2,0
ADSP-BF527BBCZ-5A,32.28,533,2,2,0
ADSP-BF533SKBCZ-6V,35.48,600,2,2,0
ADSP-BF527KBCZ-6A,36.13,600,2,2,0
ADSP-BF548BBCZ-5A,36.40,533,2,2,0
ADSP-BF561SKBCZ-6A,46.87,600,4,4,0
ADSP-BF561SBBZ600,52.30,600,4,4,0
ADSP-BF592KCPZ,9.48,400,2,2,0
TMS320C5535AZHH10,13.09,100,2,2,0.22
TMS320C5535AZHHA10,17.53,100,2,2,0.22
ADSP-BF504BCPZ-4F,18.94,400,2,2,0
TMS320C5515AZCHA12,20.72,120,2,2,0.22
ADSP-BF533SBBCZ400,23.79,400,2,2,0.369
ADSP-BF534BBCZ-4A,23.56,400,2,2,0.366
